customer_id,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,split
2,6,3) $200 - $350,329.08,1,1,Rural,1,Web,No E-Mail,0,0,0.0,0,train
4,9,5) $500 - $750,675.83,1,0,Rural,1,Web,Mens E-Mail,0,0,0.0,1,train
9,9,5) $500 - $750,675.07,1,1,Rural,1,Phone,Mens E-Mail,0,0,0.0,1,train
14,2,2) $100 - $200,101.64,0,1,Urban,0,Web,Mens E-Mail,1,0,0.0,1,train
15,4,3) $200 - $350,241.42,0,1,Rural,1,Multichannel,No E-Mail,0,0,0.0,0,test
16,3,1) $0 - $100,58.13,1,0,Urban,1,Web,No E-Mail,1,0,0.0,0,train
17,5,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0.0,1,test
18,9,2) $100 - $200,112.35,1,0,Rural,0,Web,Mens E-Mail,0,0,0.0,1,train
19,11,3) $200 - $350,219.04,1,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0,1,train
20,5,"6) $750 - $1,000",828.42,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0.0,1,train
21,9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0,0,train
22,11,2) $100 - $200,182.32,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0.0,1,train
23,2,2) $100 - $200,118.4,1,0,Surburban,0,Web,Mens E-Mail,1,0,0.0,1,test
24,2,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,0,train
25,4,1) $0 - $100,78.24,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,train
26,6,2) $100 - $200,139.87,0,1,Rural,1,Web,Mens E-Mail,0,0,0.0,1,train
27,12,2) $100 - $200,115.39,0,1,Surburban,0,Phone,Mens E-Mail,1,0,0.0,1,train
28,6,2) $100 - $200,162.98,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0,1,train
29,7,4) $350 - $500,435.73,0,1,Urban,1,Web,No E-Mail,0,0,0.0,0,train
30,2,3) $200 - $350,203.35,1,0,Rural,0,Web,No E-Mail,0,0,0.0,0,train
32,9,3) $200 - $350,334.24,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,1,test
33,6,2) $100 - $200,128.01,0,1,Urban,0,Web,Mens E-Mail,0,0,0.0,1,train
34,9,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,1,test
37,1,5) $500 - $750,514.52,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0,1,train
38,4,"6) $750 - $1,000",766.47,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0,1,test
40,7,5) $500 - $750,520.43,0,1,Surburban,1,Web,Mens E-Mail,0,0,0.0,1,train
41,11,3) $200 - $350,236.97,1,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,1,train
42,3,1) $0 - $100,99.23,1,0,Rural,0,Web,Mens E-Mail,1,0,0.0,1,train
44,2,4) $350 - $500,492.02,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,0,train
45,1,1) $0 - $100,48.32,0,1,Urban,0,Web,No E-Mail,0,0,0.0,0,test
46,10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,0,train
47,2,4) $350 - $500,391.33,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,test
48,1,5) $500 - $750,729.7,1,1,Surburban,1,Web,Mens E-Mail,0,0,0.0,1,train
51,3,3) $200 - $350,203.3,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,train
52,9,2) $100 - $200,185.43,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,1,train
53,7,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,1,train
54,9,1) $0 - $100,78.62,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,1,train
55,12,2) $100 - $200,150.06,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,test
56,6,1) $0 - $100,42.66,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,train
58,3,5) $500 - $750,549.29,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0,0,train
59,9,5) $500 - $750,506.83,1,0,Rural,1,Multichannel,Mens E-Mail,0,0,0.0,1,test
61,10,2) $100 - $200,115.4,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0,1,train
63,6,1) $0 - $100,40.07,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0,1,test
64,11,4) $350 - $500,417.21,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,0,test
67,1,3) $200 - $350,259.91,0,1,Surburban,1,Web,No E-Mail,0,0,0.0,0,train
68,11,1) $0 - $100,53.81,1,0,Urban,1,Phone,No E-Mail,0,0,0.0,0,test
69,9,2) $100 - $200,154.15,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0,1,train
71,2,3) $200 - $350,278.8,1,0,Rural,0,Web,Mens E-Mail,0,0,0.0,1,train
73,2,4) $350 - $500,428.74,1,0,Rural,0,Phone,Mens E-Mail,0,0,0.0,1,test
75,11,3) $200 - $350,228.09,0,1,Surburban,1,Web,No E-Mail,0,0,0.0,0,train
76,1,5) $500 - $750,640.58,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,1,train
77,4,2) $100 - $200,194.11,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,train
78,7,1) $0 - $100,84.49,0,1,Urban,1,Web,No E-Mail,0,0,0.0,0,train
79,7,3) $200 - $350,235.14,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0,1,train
80,2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0,1,test
81,7,3) $200 - $350,272.32,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0,1,test
82,2,1) $0 - $100,95.33,0,1,Surburban,0,Web,No E-Mail,1,0,0.0,0,train
83,5,4) $350 - $500,494.26,1,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0,1,train
84,2,"6) $750 - $1,000",809.07,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,1,test
89,3,2) $100 - $200,101.61,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0,0,train
90,8,1) $0 - $100,52.64,0,1,Surburban,1,Web,No E-Mail,0,0,0.0,0,test
91,6,4) $350 - $500,466.29,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0.0,1,test
92,3,2) $100 - $200,100.85,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,1,test
93,3,"7) $1,000 +",1397.57,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0.0,1,train
94,2,"6) $750 - $1,000",770.58,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0,1,test
95,3,"7) $1,000 +",1973.87,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0,0,test
96,3,2) $100 - $200,133.51,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,1,train
97,8,1) $0 - $100,31.52,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0,1,train
101,11,2) $100 - $200,189.25,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,0,test
103,8,1) $0 - $100,66.14,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0,0,train
107,11,2) $100 - $200,146.04,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0,1,train
108,12,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0,0,0.0,0,train
112,9,"7) $1,000 +",1172.42,1,1,Surburban,1,Web,Mens E-Mail,0,0,0.0,1,train
